Comment,Polarity,Sentiment
Joker Folie A Deux is a masterpiece!,0.0,Neutral
Terminator 2 was better than Terminator according to most people. That was not planned. There is one example.,0.5,Positive
Next epic sequel. <br>Titanic 2,0.05,Positive
Aliens is one of the few.,-0.2,Negative
Thought the first one sucked and like they were trying too hard.. . No intention of watching the second .. . I feel it&#39;s a production driven by greed and ego.. . Like when people say a famous person who&#39;s been famous for like 8/10 years.. they call the person a legend.. its comes from the same shallow BS place gross,0.078125,Positive
"Basically Hollywood couldn&#39;t have a movie about man losing his mind and fighting back due to negligence which is happening every day in society today, the male suicide rate is skyrocketed over the past few years and you hear nothing about it on the news so obviously Hollywood was going to destroy this movies legacy and turn Joker back into a push over because the first movie was empowering for the neglected men in society, makes me sick that men can&#39;t even have something as simple as a movie, Hollywood has this idea that the only way to empower women is to somehow put men down and they wonder why people don&#39;t give af about the garbage they make because men and women don&#39;t want to see shit like that only the hateful woke who wants to drive a message down your throats.",-0.0911998132586368,Negative
I think acting part was brilliant but the story sucked,0.45,Positive
It’s certainly no masterpiece like Lady Ballers was.,-0.10714285714285714,Negative
Ok Matt sorry but I need to refute your point on all unplanned sequels. Here are a handful of unplanned sequels that are phenomenal <br><br>Aliens <br>Terminator 2<br>Friday the 13th Part 3/4<br>Halloween 2,0.125,Positive
spoiler alert joker2 was Spoiled 😢,0.0,Neutral
nothing beatsthe classic  batman,0.16666666666666666,Positive
Aliens?<br>Terminator 2?,0.0,Neutral
Idea was to make the Joker gay,0.4166666666666667,Positive
Aliens,0.0,Neutral
the movie SUCKS !!!!!!,-1.0,Negative
I saw joker 2 &amp; Matt’s documentary in theatres 😊,0.0,Neutral
I honest to God didn&#39;t get the memo it was a musical - man it was so so so bad,-0.03333333333333329,Negative
"For me, second Top Gun was just a tad better than the first, considering how much impact the first had on the audience. It was a first of its kind.",0.31875,Positive
"Even the first one sucked, didnt even know this was coming out",0.25,Positive
"lol, the word now is that it dropped 81%.  If catastrophic is the word for a 65% drop then what would be the correct description for an 81% drop?",0.8,Positive
"I&#39;m really shocked that they haven&#39;t released a remake with an all female cast, that&#39;ll definitely bring in the bucks And if not, then you&#39;re not a harris supporter",-0.2333333333333333,Negative
A musical joker movie? Like the 4th matrix? Thanks for saving me the time.,0.1,Positive
Boycott Hollywood.,0.0,Neutral
I loved the first one but sadly I&#39;ve heard the second one is like a west end musical,0.09,Positive
Who cares.,0.0,Neutral
"the audience response is to this movie, as harley quinn’s response is to arthur fleck.",0.0,Neutral
THE FIRST JOKER SUCKED ALSO.<br>SECOND FAILING WAS TO BE EXPECTED,0.075,Positive
Fully expected Matt to find a way to like this film,-0.1,Negative
Why the hec this guy does a film review? Like who cares what he thinks about firms. I remember this one from Joe Rogan or something similar 😂😂😂. Why the hell these scammers get involved with everything? Like Ben Shapiro who suddenly is even considered a smart person 😂.,0.07142857142857142,Positive
"Joker 2<br>I enjoyed it immensely <br>on a MAXX screen last night <br>it pretty much says <br>that when you stop performing <br>miracles for the public,<br>when you stop entertaining <br>your prison guards <br>and the other prisoners,<br>they&#39;ll all arrange to <br>have you destroyed...<br>like Jesus Christ, Joan of Arc<br>and John Lennon<br>to those who say they disliked the &quot;musical&quot;,<br>well... too bad <br>if you can&#39;t appreciate <br>the imagination that went into that and the talent it took to produce it",0.04722222222222224,Positive
"Ever since this decade began, alot of movies have come out hating and alienating its audience, successful or otherwise.",0.225,Positive
"&quot;Musical for some reason&quot;...MW,  you&#39;re being obtuse. You&#39;re better than that.  I just saw the film.  It&#39;s stunning. It&#39;s sound and vision is mesmerising.  Joachim Phoenix is astonishing and outstanding, today&#39;s GOAT.  Lady Gaga is clearly multitalented.",0.4166666666666667,Positive
"Who can&#39;t pronounce, &quot;Folie A Deux?&quot; I gave MW more credit but he mangled it, probably just to make his point.  Maybe it&#39;s an American thing.  Brits, Europeans, Australians, New Zealanders.. we can pronounce it.",0.21212121212121213,Positive
"Woke is destroying hwood dn same it happening with bollywood lmaoo,, only 4-5 films are working gud on the box office lmaoo",-0.06666666666666667,Negative
Did you watch it?,0.0,Neutral
"Top gun Maverick was great, pretty sure that wasn’t planned",0.5125,Positive
"It takes great restraint and respect for the art to not make a sequel when the studios know it could make a lot of money. But if they can stop themselves, the original movies grow in status over time.",0.5875,Positive
You don&#39;t know wtf you&#39;re talking about!,-0.625,Negative
I didn’t even know there was a Joker 2. I didn’t watch 1.,0.0,Neutral
"Lady Gaga turned it into an instant flop, long before they finished producing it. Feeling relieved to see I&#39;m not alone with the memory of [no way, i&#39;m never watching that!].",-0.03125,Negative
Terminator 2 is probably an exception you&#39;re looking for. An 8 year gap would suggest the sequel wasn&#39;t planned.,0.0,Neutral
"So the joker plays a joke on its audience no, that’s funny not",0.25,Positive
Wayne&#39;s world sequal was good,0.7,Positive
It sucks fleck balls.,-0.3,Negative
"Here&#39;s an original idea for you: what if the original Joker was actually a terrible, derivative, empty movie? Yeah. Kind of makes this whole sequel debacle seem silly doesn&#39;t it?",-0.007142857142857141,Negative
I liked the first one and most likely would have watched part 2 until it leaked that it&#39;s a musical. That alone killed my interest,0.19166666666666668,Positive
It is AMAZING!,0.7500000000000001,Positive
"Everyone talks about going woke go broke, it seems like, in  this case, it was go non-woke go broke. 😂😂",0.0,Neutral
Top Gun: Maverick - an unplanned sequel that was better than the first. That&#39;s all I can think of.,0.4166666666666667,Positive
this is perhaps the biggest failure both critically and financially since Cats (2019) ironically the same year Joker came out. Tom Hooper tanked his own career with such an arrogant and cynical effort. And now Todd Phillips has done the same to his career.,-0.03958333333333334,Negative
how is it even possible to fuck up a Joker movie? Like how did that manage to destroy this cashcow.,-0.20000000000000004,Negative
Most sequels suck though to be honest especially because we compare it the first movie.  You are taking away from the original Joker which I actually enjoyed. It is like when you read a book then go watch the movie.  The movie never can usually capture what the book does.,0.28214285714285714,Positive
Apparently Jared Leto loved it. He was laughing throughout the whole thing.,0.31666666666666665,Positive
How in the heck did it cost $190 million to make this movie?,0.0,Neutral
The first one flat sucks too. It’s a typical liberal movie. The ultimate victim sympathizer celebrated while he’s committing murder and unspeakable evil.,-0.12083333333333333,Negative
Hated the first one. Complete bore.,-0.18333333333333335,Negative
I hope everyone forgets about this film and another Joker 2 comes.,0.0,Neutral
surprised the critics hate it. but maybe they thought normal people would like it so they had to hate it.,-0.3375,Negative
"I have never seen so many people walk out when I saw it at the cinema. By the way, I think there are MANY sequels that surpass the original!",0.4895833333333333,Positive
Matt - it’s only Americans who can’t pronounce it 🤦🏻‍♂️,0.0,Neutral
Folie à Deux was a coup d&#39;etat,0.0,Neutral
I didn’t see it bc it showed a woman helping a man realize his potential. We don’t need a woman for that.,0.0,Neutral
"The first one was TRASH, who would watch a musical version? 😂😂😂",0.125,Positive
Home Alone 2. I wouldn’t say it was better than the original but it was of the same caliber and quality.,0.2916666666666667,Positive
How the hell did this movie cost 190 billion dollars to produce and market?,0.0,Neutral
Terminator 2!,0.0,Neutral
10 Cloverfield Lane was a sequel to Cloverfield and it was better than the first,0.375,Positive
"I loved the first joker film.  I saw this as what it was, an attempted cash grab.  Also... that&#39;s definitely not Harley.   No interest whatsoever in seeing it.",0.31666666666666665,Positive
Love your content . I must just say that indeed this film was a disaster from a script and director point of view . but as crew on films myself I can say that technically is was amazing as far as lighting and camera along with edit and acting . such a shame for the crew to be involved in a film that is slated so bad without a breakdown of why it was so bad . well done film crew and cast and shame on the director and scrip .,-0.02499999999999994,Negative
One example of a sequel being better than the original motion picture is “Superman II” (1980).,0.4375,Positive
Toy Story 2 AND 3 were excellent sequels.,1.0,Positive
"Here’s the paradox. For the box office figures to be so low it means many people decided not to go and watch it. This means that their decision was made based on other peoples opinions. There was a huge deluge of negative reviews online. It soon became a pile on and the movie stood no chance. I did go to see it and, although it’s not as good as the first movie, it’s no where near as bad as these reviewers would have you believe. I actually think there are very interesting ideas in it. They could have made the movie everyone expected… ‘Joker’ escapes the law and creates havoc and continues to murder people he (and the audience) sees as awful… the end. Instead they left Arthur facing real world consequences. I think the decision to bring Lady Gaga in and make it a semi musical was where it all went wrong. The first movie had its fan base amongst, let’s be honest, men. Especially those who could identify with how hard life was on Arthur. Musicals have always had more appeal with women and gay men. I believe this is why the backlash started way before anyone had even seen it. Straight men felt they’d had something taken away from them so they were determined to hate the sequel and would never watch it. That for me is a shame. It wasn’t great but it was at least interesting which is a rare quality indeed these days.",0.09107142857142857,Positive
Aliens? Terminator 2?,0.0,Neutral
When you see a word &quot;Musical&quot; on the place where &quot;thriller&quot; has to be - please rest assured that will fail.,-0.5,Negative
Shrek 2. Spider-Man 2.,0.0,Neutral
My opinion is that it doesn’t matter to the people that finance the movie if it makes money or not as they are just using it to launder money,0.0,Neutral
"Even the main actor, agrees with you Matt.",0.16666666666666666,Positive
Lady Gaga made me not want to watch it.,0.0,Neutral
Lady gaga ruined it,0.0,Neutral
"Literally the first time I heard that there was a joker 2. Wow, I am a hermit",0.175,Positive
I didn&#39;t see one single ad for the movie.  Strange.,-0.060714285714285714,Negative
My hope is that eventually actors just start turning down scripts that are influenced by leftists,-0.15555555555555559,Negative
"Shrek 2, the greatest sequel of all time",1.0,Positive
I was ready to see it too,0.2,Positive
Aliens was a sequel and arguably the best of the franchise.,1.0,Positive
This thumbnail sums this guy up accurately.,0.4000000000000001,Positive
I disagree Lady Gags os not a good actress. Lady Gaga did a good job in A Star is Born and should have done much better bettet job in her second film.,0.2125,Positive
The drop was 81%!,0.0,Neutral
"i cant be the first person to point this out, but it&#39;s very much the kind of thing the joker would do. Accidentally make a runaway success and bomb it on purpose because its funny to do so.",0.33199999999999996,Positive
I think Walsh is extremely limited as a film critic. He restricts his criticism to the narrative elements of the movie. The film was much more about mood and aesthetics. And in this it succeeds. The story’s not great but it’s quite obvious that this was never the point for the film’s creators.,0.1457142857142857,Positive
Did I watch the same movie? I don’t remember it ending that way. 🤔,0.0,Neutral
Makes me appreciate Tarantino more and more....,0.5,Positive
"The Empire Strikes Back is an exception. George Lucas did not plan out the whole Star Wars trilogy ahead of time, and before The Empire Strikes Back came out, there was a Star Wars novel called Splinter of the Mind&#39;s Eye, which focused on Luke and Leia. The plan was to make this a low budget sequel, and Han Solo and Chewbacca were left out because Harrison Ford had not yet signed a contract to appear in any sequels. But because Star Wars proved very successful and Harrison Ford eventually did sign on for sequels, we got the big budget The Empire Strikes Back. That said, most people who make sequels know better than to make the sequel a musical if the original movie was not itself a musical. It is hard to imagine what could have led to such colossally bad decision making.",0.09739583333333335,Positive
"Thanks to Deniro&#39;s weird rant send off, now hwood knows nobody wants anymore tds woke crap on the silver screen.",-0.225,Negative
Sister Act 2 was better than Sister Act,0.5,Positive
We all knew this movie sucks cawk. Now do Terrifier 3! 😂😂😂,-0.375,Negative
Joker two was very nice movie. But nothing about class warfare. Just. Warning for The danger of being inspired by someone that blew up into violence due to class inequality.  <br>I think the wrong type of people got the wrong message from the last movie and ‘they’ wanted to correct this.,-0.06899999999999999,Negative
And the Hollyweird&#39;s Best Picture award goes to...Joker 2!,1.0,Positive
"They gave us the warning that it was going to be a musical. Now, WB canceled batwoman because they watched a preview and knew it was going to suck. Did they not preview the Joker 2 before releasing it?",0.0,Neutral
Joker 2: Dropping a Duece,0.0,Neutral
I disagree completely. I thought it was good and enjoyed every minute of it. And I wouldn’t call it a musical. The singing was very specific.,0.25999999999999995,Positive
"Empire Strikes Back, Temple of Doom, Evil Dead 2....",-0.39999999999999997,Negative
Most accurate review. 👍👍👍,0.45000000000000007,Positive
Short Circuit 2 fits the bill!,0.0,Neutral
"This movie should’ve been called “Lady Gaga’s musical and her Simp, The Joker”.",0.0,Neutral
Margo Robbie is the only Harley Quinn for me.,0.0,Neutral
Ace Ventura 2 wasn&#39;t planned and it&#39;s almost as or just as good as #1,0.7,Positive
"I expected  this movie to explain how  he went from  the Arthur ,of the 1st movie. To the Joker that gave Batman problems.",-0.1,Negative
The first one sucked,0.25,Positive
"<a href=""https://www.youtube.com/watch?v=TYdAwMw37xw&amp;t=180"">3:00</a> Aliens. It wasn&#39;t planned in advance, and could be argued as being the best of all the films.",1.0,Positive
I didn&#39;t like the first one.,0.25,Positive
"Unplanned sequels on par with the first movie: Star Wars Empire Strikes Back, Terminator 2 Judgment Day, Aliens, Star Trek 2 Wrath of Khan, Avatar Way of Water, Top Gun Maverick, Shrek 2, and From Russia with Love (James Bond). The list is longer if we include installments beyond the second movie in a franchise.",0.25,Positive
"I’m glad I learned that this was a “musical” before spending money on this, I can’t sit through any musical,  they’re just not for me, plus I don’t like lady Gaga at all, so no loss.",0.16666666666666666,Positive
I think the film was great in a lot of ways. Overall a really great cinema experience,0.5333333333333333,Positive
I haven&#39;t seen any ads promoting this movie.... i had no idea it was out......hmm. Wonder if the algorithms had something to do with it....,0.0,Neutral
SMH what a waste,-0.2,Negative
home alone 2!!!,0.0,Neutral
Sequels not planned but better than first film : Aliens,0.375,Positive
Absolute nonsense!!,0.3125,Positive
"Yeah I didn&#39;t want to see this movie because this Joker wasn&#39;t truly the Joker we know from the Batman DC Universe. Also, Todd Phillips had no plans whatsoever to do a sequel with this Arthur Fleck when he did the first film, so this was purely an attempted cash grab by Hollywood, and Todd Phillips decided then, &quot;Oh yeah, Arthur&#39;s not really the Joker too!&quot; <br><br>This movie deserves to bomb because it was made for all the wrong reasons! Hollywood can&#39;t think of anything new, so let&#39;s do a sequel for a movie the director has no vision for after the original, but let&#39;s pay him a ton of money to do it anyway, and the director was like &quot;OK, but I don&#39;t know what to do with my characters now, but I could care less if this movie fails because I got paid a ton of money to do this movie!&quot;",-0.052002164502164494,Negative
I bought deadpool 3 and I watch it everyday. Theirs something special about it I can&#39;t explain.,0.07857142857142857,Positive
Deadpool 1 2 3 exception,0.0,Neutral
I can’t imagine Matt watching movies but it makes it even better when he gives movie reviews.,0.5,Positive
"Indiana Jones and the Temple of Doom is, I think, the exception to your rule of &quot;movie made money, so now we need a bad sequel&quot;.  Also, arguably, Empire Strikes Back.",-0.3499999999999999,Negative
i&#39;m terrified to see what Gladiator 2 does to the reputation of the original!,0.46875,Positive
I heard he gets a non consensual train ran on him in prison and he perma logged off after.,0.0,Neutral
Hollywood is a great example of people being wrong and arrogant but they would rather burn everything down than ever admit it because they hate almost everyone anyway...I&#39;ve heard people act like that&#39;s a conspiracy when they&#39;ve openly said it for years on social media repeatedly lol....<br>A lot of the problem is college politics...by the time these kids graduate they&#39;re fully brainwashed by the incredibly liberally biased system that they really believe conservatives are their &quot;enemy&quot; even more so than foreign nations that hate us...and it&#39;s all for money and influence...,0.004797979797979801,Positive
Lady Caca,0.0,Neutral
It was a POS.,0.0,Neutral
"Amazing how the fimmakers thought that making the sequel a musical was a good idea. Or maybe they knew it was a bad idea and did it anyway. Maybe they wanted the movie to be a flop. Hollywood used to be about telling stories and making money. Now it&#39;s about pushing agendas even if it means losing money, though I&#39;m not sure what agenda is being pushed with Joker 2. It&#39;s truly mind-boggling.",0.1416666666666667,Positive
John Wick movies are uniformly excellent,1.0,Positive
"Terminator 2…. In response to your question <a href=""https://www.youtube.com/watch?v=TYdAwMw37xw&amp;t=169"">2:49</a>",0.0,Neutral
Art the Clown is probably laughing at this movie.🤡,0.0,Neutral
Go watch ‘terrifier 3’ Matty. You’ll love it,0.5,Positive
"this also ruins any re-watchability of the first movie. There is no more, &quot;what if?&quot; no wondering what ways this version of joker could have gone on to do what joker do. They definitely killed two movies with one turd on this one. Would have been much better to just leave it alone and let us have the &quot;what if&quot;",0.030000000000000006,Positive
Aliens is an excellent example of a good non planned sequel,0.85,Positive
Do you think James Cameron envisioned Terminator 2 when he was making Terminator? That may be the best sequel ever made.,1.0,Positive
"I understand why everybody hates it, but that musical thing and the bad story thing aso. is just a strawman. We all know the reason and I felt that punch in the gut, too.",-0.3499999999999999,Negative
It’s garbage. : It hated the people who’s watching it.,-0.9,Negative
"I believe the box office may improve because of the hate watching. I had to see it to observe the Trainwreck. Didn&#39;t think it was horrible, but definitely at or slightly below average, which is really bad when you need a minimum A grade film because of the cash spent on this film.",-0.4861111111111111,Negative
"As soon as Lady Gaga was confirmed and they called it something Artsy fartsy and not just Joker 2, you knew it was going to be dog water.",0.4,Positive
"Rocky 2, and the Empire Strikes Back are both examples of continued stories that were better than the first and hadn&#39;t been planned until the success of the first forced a continuation.",0.16666666666666666,Positive
